,address,latitude,level,longitude
0,天润康园广德苑H栋1单元,24.855361413408648,地产小区,102.82939029986011
1,尚领明珠1栋,25.03886898190669,楼号,102.65897904975705
2,驿居酒店,25.033071039382392,宾馆,102.71819202522485
3,塘子街道办事处小瓦匠村,25.482806478964655,村庄,103.28908323256802
4,黄包谷地小组,25.98178704742514,村庄,103.08463294093937
5,昆明长水机场,25.052575054079263,商圈,102.89185648873122
6,长水机场,25.052575054079263,商圈,102.89185648873122
7,昆船花园小区13栋2单元,24.994682721906226,楼号,102.80307273317354
8,昆明南部客运站,24.934619463958647,长途汽车站,102.78344978829784
9,星体花园北区13栋1单元,24.94638811353011,楼号,102.76765649947104
10,都市坐标小区B栋7单元,25.024470602386916,地产小区,102.73577437930474
11,昆明站,25.02211385758822,火车站,102.72821855200172
12,昆明南,24.990632703088526,商务大厦,102.66454315408401
13,昆明,24.990632703088526,商务大厦,102.66454315408401
14,昆明南站,24.876252534873547,火车站,102.86794314691076
15,天润康园广德苑H栋1单元,24.855361413408648,地产小区,102.82939029986011
16,金殿伍家村,25.09525481223525,地产小区,102.77453446543647
17,云锡花园2区西区1栋2单元,25.080419527398853,楼号,102.74347734905025
18,恒隆广场,25.043270944445528,购物,102.72800906715686
19,恒隆广场,25.043270944445528,购物,102.72800906715686
20,东风广场,25.044221356504696,休闲娱乐,102.71965599371399
21,东风广场站,25.044221356504696,休闲娱乐,102.71965599371399
22,东风广场,25.044221356504696,休闲娱乐,102.71965599371399
23,江东耀龙康城8栋3单元,25.104563681869365,公司企业,102.73670619160994
24,南屏街,25.043684135714418,道路,102.71934472097352
25,中海学府路,24.908515596366225,道路,103.14297012423017
26,中海学府路,24.908515596366225,道路,103.14297012423017
27,驿居酒店,25.033071039382392,宾馆,102.71819202522485
28,新闻小区,24.873998150044006,城市,102.85244836500482
29,春晖小区颐达园3栋,25.056831431871338,地产小区,102.68262667280776
30,绿地大城天地4B商业22-5栋,25.018498270676034,楼号,102.70918426672652
31,尚领明珠1栋,25.03886898190669,楼号,102.65897904975705
32,昆明西部客运站,25.041007046506632,长途汽车站,102.64647302011237
33,恒大金碧天下博雅苑25栋1单元,24.89587993886137,地产小区,102.5688153172754
