,address,latitude,level,longitude
75,正阳路36号,31.206832994623543,门址,121.47017866859433
76,炎虹路76弄,31.208587431165807,楼号,121.47130311173677
77,地铁大木桥路站,31.203193987984463,道路,121.46864980561637
78,永嘉路356弄,31.215261561064846,NoClass,121.46182491063989
79,地铁陕西南路站,31.21994683597627,道路,121.46702695832275
80,虹桥路1024弄,31.201765568090806,门址,121.425480906995
81,新华豪庭,31.209732737638937,地产小区,121.43771870261854
82,新泾家苑,31.21333789461155,地产小区,121.35672891512773
83,天山路665弄,31.21775142087594,购物,121.4031707710103
84,汇金百货（虹桥店）,31.18370473372026,道路,121.71651230916774
85,陕西南路地铁站,31.21994683597627,道路,121.46702695832275
86,锦江出租车六分公司,31.273639974720176,公司企业,121.45139019383599
87,铁路上海站,31.25592270061041,火车站,121.46205586498651
88,中铁十五局集团有限公司,31.13594179600589,公司企业,121.36435229500762
89,嘉利明珠城,31.279459909528917,地产小区,121.47028703837445
90,闻喜路935弄,31.313875127487695,门址,121.45458025636303
91,梅岭支路85弄,31.242312392788662,楼号,121.41788537458594
92,逸流公寓,31.27000411570609,地产小区,121.33639603940104
93,梅岭北路400弄,31.248784219889192,门址,121.41227878040651
94,南泉苑小区,31.275563712821555,地产小区,121.43205344908931
95,西乡路91弄,31.273642983967626,楼号,121.43048671444936
96,连亮路111弄,31.296482153138893,政府机构,121.39571618273574
97,青龙村,31.245587571481025,村庄,121.18309526344301
98,发祥路89号,31.251710469411943,门址,121.34320662526905
99,双佳翠庭,31.25380584839374,地产小区,121.3197760400082
100,金园一路1118弄,31.254385905707046,汽车服务,121.31868199372758
101,龙湖天璞小区,31.277432321177166,地产小区,121.32891656806386
102,嘉亭荟城市生活广场,31.293463718872335,购物,121.16803750716255
103,华润中央公园,31.320836884803676,地产小区,121.32065602008576
104,永辉超市（嘉定宝龙广场店）,31.351781863995253,购物,121.26776100691117
105,光明D9空间,22.754465883635365,区县,113.94256006193123
106,首创旭辉城,31.41990292838117,地产小区,121.20671997971101
107,宁武路218弄,31.274070937319053,门址,121.55193312427761
108,凤城花园,31.285448364113684,地产小区,121.52728856535734
109,邯郸路20弄,31.300687031598734,门址,121.49681624584787
110,上海嫩原粮油批发市场,31.305133845035677,购物,121.50011401520554
111,市京集贸市场,31.32789814097986,购物,121.53041412954875
112,东森花园,31.334042719844497,地产小区,121.53046721940439
113,新江湾城悠方购物中心,31.336038851588867,购物,121.51433607787006
114,百联曲阳购物中心,31.17743409567129,购物,121.48627534933269
115,沪陵农贸市场,31.298490968556884,购物,121.49863773993044
116,南秀雅苑,31.301643227378378,地产小区,121.39947972350035
117,共康雅苑（二期）,31.33622799879609,地产小区,121.42901124764921
118,四季绿城,31.336407892624315,地产小区,121.48381830410179
119,泗塘五村,31.339267255690277,地产小区,121.46819201026408
120,上海新星集贸市场,31.340597092168718,购物,121.46612285335239
121,呼玛集贸市场,31.346209846217995,购物,121.45594999260463
122,呼玛三村,31.34549288885283,地产小区,121.44797402781211
123,采菊苑,31.355015041912246,地产小区,121.37303702284753
124,海尚菊苑,31.36038934080544,地产小区,121.37369754688903
125,京东便利店（美丹路222号113室）,31.408265358989322,门址,121.35822358051324
126,美罗家园年吉苑,31.408543894271126,地产小区,121.35269498440462
127,世纪联华大卖场（上海罗店）,31.408841301160038,购物,121.35705985087762
128,2358快时尚百货（上海美兰湖店）,31.260833051324877,购物,121.42584112750451
129,横沙乡新春村,31.33450049515047,政府机构,121.83658873302545
130,五滧村,31.54201054448277,村庄,121.68199932164384
