,address,latitude,level,longitude
0,下陈村,30.340842107742912,城市,112.24552262926137
1,沿江路171号1栋1单元,30.3156852034864,门址,112.24934845411728
2,隆容多超市,30.340842107742912,城市,112.24552262926137
3,沿江2街24号,30.340842107742912,城市,112.24552262926137
4,东湖村四组,30.224590353450346,村庄,112.21311733595552
5,岑河原种场南塔分场东风片二区,30.297379701007692,NoClass,112.37748290020215
6,坮林村,30.352104079611305,政府机构,112.4684912195541
7,文岗村一组,30.39505257409529,村庄,112.48552551744815
8,沙口村,29.82634668988322,村庄,112.58996986786316
9,沙市农场黄港分场,30.254766288704932,乡镇,112.31991924058029
10,印染工业园纺印二路,30.268903016842913,工业园区,112.3378016915877
11,河岗村5组,29.983696568939767,村庄,112.05485987575106
12,沙岑路跃进4组,30.312864540557708,生活服务,112.32243015719261
13,金源世纪城二区5栋,30.291424816919793,地产小区,112.32509498048796
14,幸福新村A区13栋,30.287011390553413,地产小区,112.31432393810113
15,跃进佳园,30.31264902801555,地产小区,112.32847997531067
16,三板桥,30.319149174573734,道路,112.30060822689663
17,菁菁家园1栋,30.293031017328488,地产小区,112.30234701039768
18,菁菁家园小区1栋,30.293031017328488,地产小区,112.30234701039768
19,北京东路东区宿舍25栋,29.827631968835465,道路,112.9142666889638
20,高阳村4组,30.05700709590978,村庄,111.6978424683103
21,湘荆国际城5栋,30.29934415730605,地产小区,112.30349917704478
22,燎原高湖台社区,30.30032340833224,地产小区,112.29315159587536
23,东方新城9栋,30.299641706604856,地产小区,112.29533932911436
24,奥林香樟园1栋,30.30091787639396,地产小区,112.29524222228872
25,上善上水小区,30.340842107742912,城市,112.24552262926137
26,三湾路邓家祠堂,30.30118128281206,道路,112.29368819148529
27,长港路2栋,30.31200848917837,门址,112.28921369401127
28,沙棉64栋,30.304825715587352,NoClass,112.28649003170501
29,荆棉宿舍,30.311814019565837,楼号,112.28945201446307
30,沙棉双身宿舍19栋,30.305240015891524,楼号,112.28642948591364
31,三板桥7组,30.319149174573734,道路,112.30060822689663
32,廖子河工行宿舍6栋,30.332104022787004,地产小区,112.24302929248788
33,格林春晓小区,30.318584060676482,地产小区,112.27536936881368
34,沙棉厂宿舍63栋,30.304825715587352,NoClass,112.28649003170501
35,北京东路床二宿舍,29.827631968835465,道路,112.9142666889638
36,皇城相府9栋,30.31795205636378,地产小区,112.28744780503975
37,朝阳新城,30.30661604144374,地产小区,112.27886027385603
38,江津东路一医院宿舍,30.28828709109316,门址,112.31777075713971
39,肉联路外贸局宿舍3栋,30.308619762520294,道路,112.27796219561733
40,白云桥工行宿舍,30.332104022787004,地产小区,112.24302929248788
41,江津路玉桥小区紫竹苑2栋,30.336907511098865,道路,112.26602393727119
42,红星路华侨城5栋,30.312009268614904,地产小区,112.2802370168806
43,华侨城3号楼,30.312009268614904,地产小区,112.2802370168806
44,御龙天下小区,30.307343605217735,地产小区,112.27493961945771
45,浅水湾,30.307472530134362,地产小区,112.2736509103731
46,浅水湾小区6栋,30.307472530134362,地产小区,112.2736509103731
47,浅水湾,30.307472530134362,地产小区,112.2736509103731
48,长港路家房开发1栋,30.32246263052792,道路,112.27522680144111
49,福地世家2栋,30.307569574471913,楼号,112.26946795076589
50,丹凤小区1栋,30.311706690879294,楼号,112.27192939769378
51,红景嘉园,30.312152762775334,地产小区,112.27107798373143
52,北京路150号1栋,30.3459040536481,门址,112.23086903590104
53,荆堤路22栋,30.315410436216013,门址,112.24625807198238
54,红景嘉园B区,30.313651995154142,地产小区,112.26839995534507
55,红景嘉园B区5栋,30.313651995154142,地产小区,112.26839995534507
56,中央华府35栋,29.729112514049106,地产小区,113.12584961796648
57,中央华府50栋,29.729112514049106,地产小区,113.12584961796648
58,红门路烈士陵园旁,30.315567019400525,生活服务,112.27249497084287
59,洪门路华容小区42栋,30.540599527838044,区县,114.73642634228239
60,玉红小区,30.340842107742912,城市,112.24552262926137
61,蛇入山阀门厂宿舍3栋,30.32750712608829,旅游景点,112.27015928668636
62,航空路,30.31451107175633,道路,112.2659919522052
63,天阳小区,30.326451230499742,地产小区,112.27346136791049
64,六中宿舍,30.31101836588499,教育,112.26435632292247
65,奇乐城,30.340842107742912,城市,112.24552262926137
66,齐乐城,30.314589481018356,地产小区,112.26429990933643
67,江汉北路大市场,30.32755145911208,道路,112.26920241075884
68,富怡雅苑7栋,30.32375388682348,楼号,112.27016467651943
69,水木香郡7栋,30.327067047598756,楼号,112.27211399947609
70,江汉北路福城小区,30.321651042978697,地产小区,112.26818391286993
71,文化坊,30.31458947174331,道路,112.26020723033128
72,福耀名城B3栋,30.322139388142404,地产小区,112.26763109565908
73,外滩阳光,30.30853829768808,地产小区,112.2565138463287
74,北湖小区,30.347419775680972,餐饮,112.24073106767115
75,江汉北路云中阁,30.32418938225106,地产小区,112.267564890543
76,江汉北路,30.32755145911208,道路,112.26920241075884
77,毛家巷,30.340842107742912,城市,112.24552262926137
78,肖家坊12栋,29.95516869968386,村庄,112.4883700774294
79,蛇入山橡胶二厂宿舍,30.32750712608829,旅游景点,112.27015928668636
80,沿江路,29.593212012156506,道路,113.02603033822244
81,黄家塘,30.31297638865039,餐饮,112.26506643342809
82,黄家塘195栋,30.31297638865039,餐饮,112.26506643342809
83,黄家塘8栋,30.31297638865039,餐饮,112.26506643342809
84,园林东路益寿园17栋,30.32140016696965,地产小区,112.26337573262778
85,时尚豪庭,30.315023848476102,地产小区,112.25692949228817
86,滨湖国际2栋,30.327353055981924,地产小区,112.26361863443766
87,滨湖国际小区,30.350385572072106,地产小区,112.242923831421
