,address,latitude,level,longitude
0,唐家岭新城T05小区,40.07276071097931,地产小区,116.28547756877937
1,裕民路甲3号,39.98070826553906,门址,116.39384806753651
2,石榴园南里小区,39.85036205028525,地产小区,116.42452699731327
3,崔各庄村,39.6993324926304,村庄,116.72006798297666
4,马驹桥镇北门口村,39.7725331655162,村庄,116.56163366052074
5,北杨洼小区梨园家属院,39.89532380911489,地产小区,116.6749060327847
6,格林云墅,39.71436507938352,地产小区,116.40767101306294
7,格林云墅小区,39.71436507938352,地产小区,116.40767101306294
8,泰禾中央广场,39.72094204225839,楼号,116.3262954033556
9,金茂悦北区5号院,39.76044108566165,地产小区,116.49069303710897
10,双河南里,39.740390614502395,地产小区,116.35390383506872
11,瑞康家园小区,39.74485377966035,地产小区,116.34881241909927
12,润枫锦尚小区,39.796661702213584,地产小区,116.43542182619939
13,瑞海家园二区,39.79219970384158,地产小区,116.33834949550236
14,西白岱村,39.57528425789777,村庄,115.74280743731855
15,西潞东里小区,39.73830207270172,地产小区,116.14207602971074
16,祥云街1号院,39.76887165360754,门址,116.21110839889717
17,康泽佳苑小区,39.88755458862521,地产小区,116.67604679095183
18,万源南里小区,39.733701632189344,地产小区,116.34156641736413
19,南庭新苑北区,39.81294522911706,地产小区,116.3754772707047
20,石榴园南里小区,39.85036205028525,地产小区,116.42452699731327
21,幸福家园小区东区,39.89826035601261,地产小区,116.43691921165397
22,花乡幸福家园小区东区,39.91142167404345,地产小区,116.3887021244226
23,定安东里,39.86595669513447,地产小区,116.42111128044213
24,刘孟家园小区,39.8442874069655,地产小区,116.30892630699799
25,刘孟家园小区,39.8442874069655,地产小区,116.30892630699799
26,富丰园,39.84335511554038,地产小区,116.28918981629936
27,富丰园小区,39.84335511554038,地产小区,116.28918981629936
28,家和园小区,39.86611293782871,地产小区,116.36743060926852
29,北京南站,39.871280236128875,火车站,116.38548789747735
30,建国街一里,39.85421510707831,地产小区,116.30032539106215
31,电报局街小区,39.85717341453967,道路,116.29349168191202
32,北京南,39.84746927558593,餐饮,116.51288495608856
33,华源四里,39.886861230856326,地产小区,116.32581049804133
34,六里桥长途汽车站,39.89060664873368,道路,116.31806327147571
35,北京西站,39.90083463437583,火车站,116.32810279404168
36,北京西,39.87167105390946,餐饮,116.50706097197572
37,西府颐园,39.888446344697925,地产小区,116.27449910765027
38,翠城熙园小区,40.18827763903629,地产小区,116.38988851650961
39,世纪东方嘉园,39.881634418689686,地产小区,116.50052112820198
40,高碑店北花园社区超级蜂巢,39.904713338732265,宾馆,116.55563288988354
41,高碑店乡陶家湾,39.91135505401313,地产小区,116.5489540782474
42,常营中路6号院,39.932459197815426,门址,116.60963165103823
43,慈云寺北里,39.92393823186523,地产小区,116.50178872710711
44,康静里,39.96777160480555,地产小区,116.53915428377795
45,恒大江湾,39.976088090761465,地产小区,116.53829397659104
46,将台乡芳园里小区,39.97819008433128,地产小区,116.49090099483453
47,和平家园10区,40.16105616838221,地产小区,117.12812820156445
48,裕民路甲3号,39.98070826553906,门址,116.39384806753651
49,安慧北里,40.00204494676052,地产小区,116.42074324467468
50,凯基伦大厦全季酒店,40.004746413641996,宾馆,116.43731545421441
51,北苑路86号嘉铭园,40.008479363304915,地产小区,116.43391384073978
52,林萃路10号院,40.01658405224538,地产小区,116.38072454268014
53,来广营乡筑华年,40.026167800769684,村庄,116.47265362517979
54,北京首都国际机场,40.08381244121404,飞机场,116.60956364931113
55,明天第一城,40.053333128969285,地产小区,116.41473780284883
56,驹章胡同,40.3769860026615,道路,116.85437534655392
57,北京站,39.910039519869805,商圈,116.43384170680733
58,北京国际饭店,39.915671108371384,宾馆,116.43492398528576
59,锦江之星,39.879487976350745,宾馆,116.41161762849048
60,新中街18号,40.384460462730736,门址,116.85793967908863
61,宾馆（中青记者之家）,39.9421567703294,宾馆,116.43679488617138
62,后永康2巷,39.95152613751113,道路,116.42907200188847
63,东直门北小街8号,39.94613081684764,道路,116.43207743478574
64,红居南街1号院,39.888969102366744,地产小区,116.34620311108444
65,三义东里,39.89453635373445,地产小区,116.3396983012256
66,莲花池东路甲5号院,39.90403219448936,地产小区,116.34553809551541
67,复兴门外大街甲20号,39.91165509565585,门址,116.34652077526871
68,复兴门外大街20号,39.91261732181667,门址,116.34691339136981
69,北京大学附属儿童医院,39.93929507488517,医疗,116.7035440124428
70,三里河三区,39.91543404414209,地产小区,116.34533301236748
71,三里河一区,39.92187308431965,地产小区,116.34940601938027
72,月坛三里河一区,39.92187308431965,地产小区,116.34940601938027
73,南营房社区,39.92574491644888,地产小区,116.35683374832007
74,欣燕都连锁酒店西安门店,39.933527061540936,宾馆,116.38684101506702
75,新街口街道富国里,39.93584537661525,地产小区,116.37213629285199
76,鲁谷远洋山水,39.90595764606551,地产小区,116.249283312663
77,玉泉北里2区,39.925449166004626,地产小区,116.2553552290966
78,玉泉北里2区,39.925449166004626,地产小区,116.2553552290966
79,西街天翠阳光新城,39.96019801052334,地产小区,116.12838585373866
